Time,X,Y,Z
1534367587.40000200271606445312,4699705.52357446122914552688599,-9321417.02366221696138381958008,219.5148162841796875
1534367587.90000391006469726562,4699705.22449183184653520584106,-9321417.2759942356497049331665,219.456390380859375
1534367588.400115966796875,4699704.9382619466632604598999,-9321417.55774870887398719787598,219.4490509033203125
1534367588.90000295639038085938,4699704.64996358659118413925171,-9321417.83320425823330879211426,219.4521484375
1534367589.40000200271606445312,4699704.37072821334004402160645,-9321418.11098179779946804046631,219.4835052490234375
1534367589.90000295639038085938,4699704.10640045255422592163086,-9321418.37916430830955505371094,219.551025390625
1534367590.40012788772583007812,4699703.84905488044023513793945,-9321418.6230748221278190612793,219.6584320068359375
1534367590.90000295639038085938,4699703.59850583877414464950562,-9321418.83836276084184646606445,219.7987060546875
1534367591.40000295639038085938,4699703.3686927882954478263855,-9321419.05791244097054004669189,220.017242431640625
1534367591.90000295639038085938,4699703.15392504073679447174072,-9321419.2933499291539192199707,220.207061767578125
1534367592.40015101432800292969,4699702.2366411946713924407959,-9321416.99149154871702194213867,222.97784423828125
1534367592.90000295639038085938,4699702.23886084649711847305298,-9321417.20841719955205917358398,224.6198577880859375
1534367593.40000295639038085938,4699701.99675842002034187316895,-9321417.1683254633098840713501,224.6585235595703125
1534367593.90000200271606445312,4699701.81420815363526344299316,-9321417.20097708888351917266846,224.9566192626953125
1534367594.40017294883728027344,4699701.67329996638000011444092,-9321417.23911467753350734710693,225.2760772705078125
1534367594.90000295639038085938,4699701.31328384857624769210815,-9321417.30626413784921169281006,225.5341644287109375
1534367595.40000200271606445312,4699700.97572643309831619262695,-9321417.36782745644450187683105,224.7253265380859375
1534367595.90000295639038085938,4699700.6079519400373101234436,-9321417.30796208046376705169678,224.8510589599609375
1534367596.40019392967224121094,4699700.25714043527841567993164,-9321417.20313048735260963439941,224.954376220703125
1534367596.90000200271606445312,4699699.94712777622044086456299,-9321417.18943049013614654541016,224.9850006103515625
1534367597.40000200271606445312,4699699.72040623426437377929688,-9321417.19138464704155921936035,224.807342529296875
1534367597.90000295639038085938,4699699.50911933835595846176147,-9321417.12149183638393878936768,224.76544189453125
1534367598.40021800994873046875,4699699.30481112282723188400269,-9321417.28251921944320201873779,224.337615966796875
1534367598.90000295639038085938,4699699.11896069347858428955078,-9321417.36920194700360298156738,224.0823211669921875
1534367599.40000200271606445312,4699698.92622504010796546936035,-9321417.52426441758871078491211,223.8258819580078125
1534367599.90000295639038085938,4699699.4240116076543927192688,-9321417.96976783871650695800781,222.2357330322265625
1534367600.40023207664489746094,4699699.26479367166757583618164,-9321417.90619339793920516967773,223.181182861328125
1534367600.90002489089965820312,4699699.18416447937488555908203,-9321417.94001683034002780914307,223.196746826171875
1534367601.40000295639038085938,4699699.14860407914966344833374,-9321418.18826233036816120147705,222.221160888671875
1534367601.90000295639038085938,4699698.91060718800872564315796,-9321418.23612604103982448577881,221.72430419921875
1534367602.40002107620239257812,4699698.67889841739088296890259,-9321418.16801715828478336334229,221.5314483642578125
1534367602.90004491806030273438,4699698.36744679696857929229736,-9321418.12829778529703617095947,221.385223388671875
1534367603.40000295639038085938,4699698.06412691995501518249512,-9321417.91939046233892440795898,222.5362396240234375
